,拼音,解释,例子,用法,谜语,感情,英语,结构,字数,年代,热度,词语解释,出处,正音,辨形,辨析,繁体,组合,歇后语,成语故事
不由自主,bù yóu zì zhǔ,由不得自己。指控制不住自己。,我也不很记得了，但觉自己身子不由自主，倒象有什么人，拉拉扯扯，要我杀人才好。（清 曹雪芹《红楼梦》第八十一回）,兼语式；作谓语、状语；用于人。,包办婚姻；无舵之船,中性,unable to control oneself,偏正式,四字,近代,常用,不由自主,清 曹雪芹《红楼梦》第81回：“我也不很记得了。但觉自己身子不由自主，倒象有什么人，拉拉扯扯，要我杀人才好。”,“不”，不能读作“bú”。,“主”，不能写作“住”。,不由自主和“身不由己”；都有“不由自己”的意思。但不由自主偏重在自己控制不了自己；不知不觉地做某事情；“身不由己”偏重在自己的行动完全由别人支配；自己不能做主。,,,,不由自主
毫不犹豫,háo bù yóu yù,毫：一点儿；犹豫：迟疑，拿不定主意。一点儿也不迟疑。,路遥《平凡的世界》第二卷第53章：“他自己可以毫不犹豫地一口否定这无法无天的行为。”,作谓语、状语；指很果断。,,中性,without  hesitation（straight away）,偏正式,四字,当代,常用,毫不犹豫,毛泽东《井冈山的斗争》：“第二次杜修经、杨开明来，主张红军毫不犹豫地向湘南发展。”,,,,毫不猶豫,,,
不知所措,bù zhī suǒ cuò,措：安置；处理。不知道怎么办才好。形容受窘或发慌的状态。也作“莫知所措”、“未知所措”。,程仁呆了，这个意外的遇见，使他一时不知所措。（丁玲《太阳照在桑干河上》五五）,动宾式；作谓语、状语、补语；指处境很为难。,瞎子摸到三岔口,中性,not know what to do,动宾式,四字,古代,常用,不知所措,晋 陈寿《三国志 吴志 诸葛恪传》：“皇太子以丁酋践尊号，哀喜交并，不知所措。”,“措”，不能读作“xī”。,“措”，不能写作“错”。,不知所措和“手足无措”；都有“慌张”和“不知如何是好”的意思。但不知所措语义较宽；除形容举动慌乱外；还可指“失望”、“困惑”、“感激”时神情状态；“手足无措”仅形容举动慌乱和不知如何办的样子。,,,,不知所措
无可奈何,wú kě nài hé,奈何：如何；怎么办。不得已；没有办法。,大哥同杨太守来拿我，实是一毫不知，既被他连累，也无可奈何了。（清 陈忱《水浒后传》第三回）,偏正式；作谓语、宾语、定语；形容毫无办法。,大小二人,中性,against one's will,动宾式,四字,古代,常用,无可奈何,西汉 司马迁《史记 周本纪》：“太史伯阳曰：‘祸成矣，无可奈何！’”,,“何”，不能写作“合”。,无可奈何和“迫不得已”都含有没有办法的意思。但无可奈何可用于自己；也可用于别人；并没有出于逼迫的意思；而“迫不得已”仅用于自己；强调出于逼迫。,無可奈何,,林黛玉葬花；霸王别姬,无可奈何
成千上万,chéng qiān shàng wàn,成：达到一定数量；上：达到一定程度或数量。累计成千；达到万数。形容数量极多。也作“成千成万”、“成千累万”。,做假事骗得了几个人，骗不了成千上万的人。（老舍《神拳》第二幕）,联合式；作定语、状语；表示数量多。,10的立方与100的平方,中性,in hundreds and thousands（many thousands）,联合式,四字,近代,常用,成千上万,清 文康《儿女英雄传》第30回：“他看着那乌克斋、邓和公这班人，一帮动辄就是成千累万，未免就把世路人情看得容易了。”,“成”，不能读作“céng”。,“万”，不能写作“方”。,成千上万和“不计其数”都形容数量极多。但成千上万数量尚可计算；“不计其数”多得数不过来；所以“不计其数”表示的数量多。,成千上萬,,,
大吃一惊,dà chī yī jīng,形容非常吃惊。,那个朋友和他再次见面，不禁大吃一惊。巴金《等着盼着》,偏正式；作谓语；形容非常吃惊。,,中性,jump put of one's skin（stun; be astonished; be taken completely by surprise）,动宾式,四字,古代,常用,大吃一惊,明 冯梦龙《警世通言》第28卷：“则一张那员外大吃一惊，回身便走，来到后边，望后倒了。”,,“惊”，不能写作“警”。,,大喫一驚,,,
自言自语,zì yán zì yǔ,言、语：说。自己跟自己说话。,鲁迅《彷徨 祝福》：“她往往自言自语的说：'她现在不知道怎幺样了？'”,联合式；作谓语；指自己说话。,独角戏；单口相声,中性,keep on chattering though no one is listening,联合式,四字,古代,常用,自言自语,元 王晔《桃花女》第四折：“你这般鬼促促的，在这里自言自语，莫不要出城去砍那桃树吗？”,,,自言自语和“喃喃自语”；都表示自己跟自己说话；常可通用。但“喃喃自语”偏重指自己小声地说；而自言自语不限制。,自言自語,ABAC式,一人说话；唱戏的念道白,
不可避免,bù kě bì miǎn,指不能使不发生的事情。,路遥《平凡的世界》第一卷第16章：“男女之间就不可避免会出现这种心心思思的现象。”,作谓语、定语、状语；用于事情等。,,中性,ineluctability,偏正式,四字,当代,常用,不可避免,毛泽东《矛盾论》：“而这些矛盾如何不可避免地会在各种不同的阶级社会中，引出各种不同的社会革命。”,,,,,,,
天下第一,tiān xià dì yī,形容没有人能比得上。,毛泽东《实践论》：“世上最可笑的是那些‘知识里手’，有了道听途说的一知半解，便自封为‘天下第一’，适足见其不自量而已。”,偏正式；作谓语、定语；含褒义。,世界冠军,褒义,the first in the world（lick everything）,偏正式,四字,古代,常用,天下第一,西汉 司马迁《史记 屈原贾生列传》：“孝文皇帝初立，闻河南守吴治平为天下第一。”,,,,,,,天下第一
理所当然,lǐ suǒ dāng rán,当然：应当如此。从道理上讲应当这样。,善者福而恶者祸，理所当然。（明 赵弼《续东窗事犯传》）,主谓式；作谓语、定语、状语；含褒义。,火烧剃头店,褒义,of course,主谓式,四字,古代,常用,理所当然,隋 王通《文中子 魏相篇》：“非辩也，理当然耳。”,“当”，不能读作“dàng”。,“理”，不能写作“里”。,理所当然和“天经地义”都表示按照道理应该如此的意思。但理所当然偏重在应当如此；适用范围广；“天经地义”偏重在合乎道理；语气重；色彩庄重；并且还可指非常正确的；不可变更的道理。,理所當然,,,
随时随地,suí shí suí dì,①谓依照当时当地情形；在不同的时间、地点。②任何时间、地点；时时处处。,有人向他建议：多招募民间乡勇，分散在宁波、镇海、定海附近，随时随地以小队水陆分扰乱人。郭沫若《中国史稿》第五编第一章第一节,作定语、状语；指时时刻刻。,,中性,at every turn（all times and all places）,联合式,四字,近代,常用,随时随地,清·周中孚《郑堂札记》卷一：“游山诗有时地之异宜，随时随地，设色布景，否者皆陈言也。”,,,,随時随地,ABAC式,,
一模一样,yī mú yī yàng,一个模样。指样子完全相同。,这两件衣服从颜色到款式虽然一模一样，但质量却有很大差别。,联合式；作谓语、定语；形容人或物。,铸件,中性,be as like as two peas（as like as two peas in a pod; be exactly alike）,联合式,四字,古代,常用,一模一样,明 凌濛初《初刻拍案惊奇》：“话说人生只有面貌最不同，盖因各父母所生，千支万派，那能够一模一样的？”,“模”，不能读作“mó”。,“模”，不能写作“摸”。,一模一样和“如出一辙”；都有“模样、规格一样”的意思。但一模一样偏重在“一”就是“全”都一样；没有一点差别存在；“如出一辙”；偏重在“一辙”；就是“同一种样式”；但其中仍有“如同”既“象”的不纯正成份；“如出一辙”没有一模一样更像、更好；“如出一辙”有时有贬义；一模一样没有。,一模一様,ABAC式,一个母牛生的犊；一群老鸦朝南飞,
迫不及待,pò bù jí dài,迫：急迫；待：等待。急迫得不再等待。形容心情非常着急。,他迫不及待地推开门，走进屋去。,偏正式；作谓语、状语；形容心情急迫。,天时人事日相催,中性,too impatient to wait,偏正式,四字,近代,常用,迫不及待,清 李汝珍《镜花缘》第六回：“且系酒后游戏，该仙子何以迫不及待，不奏闻请旨。”,“迫”，不能读作“pài”。,“及”，不能写作“急”；“待”，不能写作“侍”。,迫不及待和“急不可待”都形容心情十分急切。但“急不可待”强调“急得难以忍受”；迫不及待强调“急得不能等下去”。,,,,
目瞪口呆,mù dèng kǒu dāi,瞪：睁大眼睛直视；呆：发愣。眼睛大睁；眼珠发直；张嘴说不出话来。形容因恐惧而失神发愣的样子。,弟弟看着被打碎的花瓶，吓得目瞪口呆。,联合式；作谓语、定语、补语；形容吃惊的神态。,眼前有景道不得,中性,Eyes and mouth are fixed.,联合式,四字,古代,常用,目瞪口呆,元 无名氏《赚蒯通》第一折：“吓得项王目瞪口呆，动弹不得。”,“呆”，不能读作“ái”。,,见“瞠目结舌”。,目瞪口獃,,,目瞪口呆
众所周知,zhòng suǒ zhōu zhī,大家普遍知道的（周：普遍）。,众所周知，人民群众是历史的创造者。,主谓式；作谓语、分句；用于书面语。,公告,中性,be universally known,主谓式,四字,古代,常用,众所周知,宋 朱熹《朱子语类》：“虽十目视十手指，众所共知之处，亦自七颠八倒了，更如何地谨独。”,,,众所周知与“尽人皆知”有别。众所周知多用作独立语；“尽人皆知”多用作判断宾语。,衆所周知,,十字街头贴告示,
乱七八糟,luàn qī bā zāo,形容乱糟糟的样子；毫无条理或秩序。,这间屋子很长时间没住人了，里面的东西摆放得乱七八糟。,联合式；作定语、补语；含贬义。,二大娘的针线筐,贬义,all to a hideous mess（at sixes and sevens; be a pretty kettle of fish; welter）,偏正式,四字,近代,常用,乱七八糟,清 曾朴《孽海花》第五回：“你看屋里的图书字画，家伙器皿，布置得清雅整洁，不像公坊以前乱七八糟的样子了。”,“糟”，不能读作“cáo”。,“糟”，不能写作“槽”。,乱七八糟和“乌七八糟”都可形容乱得一踏糊涂。但乱七八糟偏重在“乱”；无条理；无秩序；使用范围广；“乌七八糟”偏重在“糟”、“污”；糟糕；污秽；恶劣。,亂七八糟,,牛毛炒茴香；鸡毛炒韭菜,
突如其来,tū rú qí lái,突然发生或到来。突如：出乎意料；突然来临。,其在前曰：真为素昧平生，突如其来，难怪妾之得罪。（元 王实甫《西厢记》第二本第三折）,偏正式；作定语、状语；形容突发事件。,半路上杀出程咬金,中性,out of the blue（sudden and unexpected; without any warning; by surprise; arise suddenly; appear suddenly; happen suddenly）,偏正式,四字,古代,常用,突如其来,《周易 离》：“象曰：‘突如其来如无所容地。’”,“其”，不能读作“qī”。,“其”，不能写作“奇”。,,突如其來,,,
引人注目,yǐn rén zhù mù,引起别人的注意。形容人或事物很具特色。能引起人们的注意。,也有敲打铜锣，高举旗帜，引人注目的。（毛泽东《湖南农民运动考察报告》）,兼语式；作谓语、定语、状语；含褒义。,眼药使用说明,褒义,catch somebody's eyes（to attract somebody's attention; noticeable; conspicuous; strike the eye; spectecular）,连动式,四字,当代,常用,引人注目,毛泽东《湖南农民运动考察报告十四件大事》：“也有敲锣打鼓，引人注目的。”,,,引人注目和“招摇过市”都有“引人注意”的意思。但“招摇过市”是贬义成语；偏重指故意在公众中张扬炫耀；吸引人注意；一般用于人；引人注目不含“炫耀”的意思；可用于人和物。,,,,
意想不到,yì xiǎng bù dào,料想不到，没有料到。,叶圣陶《小妹妹》：“我走进房间，看见意想不到的景象。”,作宾语、定语；指出乎意料。,,中性,beat all,偏正式,四字,近代,常用,意想不到,清·李汝珍《镜花缘》第二回：“今日这般寒冷，满天雪片飘扬，仙姑忽来下顾，真是意想不到。”,,,,,,,
实实在在,shí shí zài zài,真实，不夸张，现实存在的。,邓小平《关于经济工作的几点意见》：“就是说，我们的工作要扎实，效果要实实在在。”,作谓语、定语、状语；指真实存在或人的性格。,,中性,literal（living）,联合式,四字,近代,常用,实实在在,清·无名氏《说呼全传》第40回：“八王就实实在在问话，孩儿也细细告诉了他，就求他请诏。”,,,,實實在在,AABB式,,
毫无疑问,háo wú yí wèn,不存在问题，十分肯定。,路遥《平凡的世界》第二卷第41章：“毫无疑问，他将再也没有读书的时间。”,作谓语、分句；指十分肯定。,,中性,make no doubt（be beyond any shadow of doubt）,动宾式,四字,当代,常用,毫无疑问,邓小平《关于修改党的章程的报告》：“毫无疑问，他们的这种威信、影响和经验乃是党、阶级和人民的宝贵财富。”,,,,毫無疑問,,,
初来乍到,chū lái zhà dào,刚刚来到。,余秋雨《霜冷长河·壮士》：“初来乍到却不会迷路，举目无亲却不会孤独。”,作谓语、宾语；指刚刚来到。,,中性,arrive a moment ago（come just now）,联合式,四字,当代,常用,初来乍到,路遥《平凡的世界》第五卷第19章：“行走在大城市五光十色的街道上，少平倒不像初来乍到时那般缩手缩脚。”,,,,初來乍到,,,
实事求是,shí shì qiú shì,实事：客观事物；求：研究。是：事物内部的规律性。指客观存在的一切事物。,周而复《上海的早晨》第四部：“我们对待问题应该实事求是，不要客气才好。”,紧缩式；作定语、补语、状语；含褒义。,找根据；不图虚假，查明真相,褒义,base on facts,紧缩式,四字,古代,常用,实事求是,东汉 班固《汉书 河间献王刘德传》：“河间献王德以孝景前二年立，修学好古，实事求是。”,,“是”，不能写作“士”。,实事求是和“脚踏实地”都有“做事认真；从实际出发”之意；但实事求是有“研究和探求事物发展规律”之意；而“脚踏实地”没有此意。实事求是多用于形容做事方法上；而“脚踏实地”多形容做事的精神和态度。,實事裘是,,三担牛粪六筲箕,实事求是
随心所欲,suí xīn suǒ yù,随着自己的意思；想要干什么就干什么。随：听任；欲：想要。,秦牧《艺海拾贝 》：“多画蛋，那就是训练眼睛去观察形象，训练手随心所欲地表现事物。”,动宾式；作谓语、宾语、状语；含贬义。,雕塑匠手里的泥巴,贬义,do whatever one wants,动宾式,四字,近代,常用,随心所欲,清 曹雪芹《红楼梦》第九回：“宝玉终是个不能安分守理的人，一味的随心所欲。”,“所”，不能读作“shuǒ”。,“欲”，不能写作“遇”。,随心所欲和“为所欲为”；都有“凭着自己的意愿做事”的意思。但随心所欲偏重用“想”；指随意地想干什么就干什么；“为所欲为”偏重于“做”；多指不顾一切胡乱妄为。,随心所慾,,寡妇选郎；雕塑匠手里的泥巴,随心所欲
独一无二,dú yī wú èr,只有这一个；而没有别的可与其相比。形容非常突出。,赢了钱，便大把的赏人；输了钱，无论上千上万，从不兴皱眉头：真要算得独一无二的好赌品了。（清 李宝嘉《官场现形记》第二十一回）,联合式；作谓语、定语；含褒义。,孤单；只我自己,褒义,the one and only,联合式,四字,古代,常用,独一无二,宋 延寿《宗镜录》第31卷：“独一无二，即真解脱。”,,,独一无二和“举世无双”；都可表示“很稀少或没有可相比”的意思。不同在于：独一无二用于强调“唯一的；没有第二个或相同”的意思时；同样表示“没有可以相比”的意思；独一无二前面可加上一定的限制；“举世无双”本身含有“在全世界”之意；所以前面不加限制。,獨一無二,,,
情不自禁,qíng bù zì jīn,禁：抑制。感情激动；无法抑制自己。,她又情不自禁地放声哭了。（沙汀《一个秋天晚上》）,主谓式；作谓语、状语；用于描写人的感情。,春心底事难关索,中性,can't refrain frow,主谓式,四字,古代,常用,情不自禁,南朝 梁 刘遵《七夕穿针》诗：“步月如有意，情来不自禁。”,“禁”，不能读作“jìn”。,“禁”，不能写作“尽”。,情不自禁和“不由自主”都可形容人“不能控制自己”；但情不自禁强调感情的流露；“不由自主”不限于此；还可形容人体某部分。,,,,
可想而知,kě xiǎng ér zhī,想：推想。可以通过推想而了解真相。,你想日本人练陆军把东三省地图当作功课，其用心可想而知。（清 高鹗《老残游记续集》第一回）,偏正式；作谓语、宾语、补语、状语；用于推测想象等。,灯谜,中性,it can well be imagined（you can imagine）,偏正式,四字,古代,常用,可想而知,宋 王楙《野客丛书 汉唐俸禄》：“而郊以吟诗废务，上官差官以摄其职，分其半禄，酸寒之状，可想而知。”,“可”，不能读作“kè”。,“知”，不能写作“智”。,,,,,
恍然大悟,huǎng rán dà wù,恍然：猛然醒悟的样子；悟：理解、明白。指忽然一下子明白；觉悟过来。,袁太守和庄太守听了，方才恍然大悟，彼此相视而笑。（清 张春帆《宦海》第十七回）,偏正式；作谓语、定语、状语；形容人对某事突然明白。,展示谜底,中性,suddenly realize,偏正式,四字,古代,常用,恍然大悟,宋 释道原《景德传灯录》第五卷：“简蒙指教，豁然大悟。”,“恍”，不能读作“guāng”。,“恍”，不能写作“晃”；“悟”，不能写作“误”。,恍然大悟和“豁然开朗”；都含有“一下子明白过来”的意思。但“豁然开朗”除此以外；指“由狭窄幽暗一变而为宽敞明亮”；恍然大悟没有此意。,怳然大悟,,,
不约而同,bù yuē ér tóng,约：约定；同：相同。事先没有经过商量而彼此的看法或行动却完全一致。,中军元帅栾书，不约而同，亦至朝门，正遇胥童引兵到来。（明 冯梦龙《东周列国志》第五十九回）,紧缩式；作状语；指行动、动作相同。,,中性,do the same thing without previous arrangement,偏正式,四字,古代,常用,不约而同,西汉 司马迁《史记 平津侯主父列传》：“无尺寸之势，起闾巷，杖棘矜，应时而皆动，不谋而俱起，不约而同会。”,“约”，不能读作“yāo”。,“而”，不能写作“尔”。,见“不谋而合”。,不約而同,,,
必不可少,bì bù kě shǎo,绝对需要，指不达到某种目的就不能做成某种事情。,邓小平《在中央政治局常委会上的讲话》：“判死刑也是一种必不可少的教育手段。”,作谓语、定语、状语；指绝对需要。,,中性,absolutely necessary（indispensable）,紧缩式,四字,近代,常用,必不可少,清·吴趼人《二十年目睹之怪现状》第79回：“这拜阴寿更是必不可少的。”,,,,,,,
不以为然,bù yǐ wéi rán,然：对；不错。不认为是对的。表示不同意。有轻视的意思。,听他说洋人不是，口虽不言，心下却老大不以为然。（清 李宝嘉《官场现形记》）,动宾式；作谓语、定语、状语；含轻蔑意味。,误把肯定当否定,贬义,not to agree with,动宾式,四字,古代,常用,不以为然,宋 苏轼《再乞罢详定役法状》：“右臣先曾奏论前衙一役，只当招募，不当定差，执政不以为然。”,“为”，不能读作“wèi”。,“以”，不能写作“似”。,不以为然与“嗤之以鼻”有别：不以为然偏重于心理活动；语意较轻；“嗤之以鼻”偏重于不满的轻蔑的表情、举动；语意较重。,不以為然,,,
无能为力,wú néng wéi lì,用不上力量；帮不上忙；指没有能力或力不能及。,使兵饷顿竭，忠臣流涕顿足而叹，无能为力，惟有一死以报国，不亦大可哀乎？（清 梁绍壬《两般秋雨庵随笔 卷八 史阁部书》）,连动式；作谓语、宾语、定语；用于推辞。,石油危机,中性,powerless,偏正式,四字,近代,常用,无能为力,清 纪昀《阅微草堂笔记》：“此罪至重，微我难解脱，即释迦牟尼亦无能为力也。”,“为”，不能读作“wèi”。,“力”，不能写作“立”。,无能为力和“无计可施”都有没法完成某件事的意思。但无能为力偏重在施展不出力量或者用不上力量；“无计可施”偏重在想不出办法。,無能為力,,猪八戒当兵,
各式各样,gè shì gè yàng,谓多种不同的式样、种类或方式。,儿童乐园里的玩具各式各样，真是好玩极了。,作定语；指多种多样。,,中性,of every description（all kinds of）,联合式,四字,近代,常用,各式各样,茅盾《子夜》十二：“毒太阳晒得马路上的柏油发软，汽车轮辗过，就印成了各式各样的花纹。”,,,,各式各様,ABAC式,,
脱颖而出,tuō yǐng ér chū,如果毛遂早得到任用；就会像锥子放在布袋里那样；锥针都能全部穿出来。比喻本领全部显露出来。脱：脱露。,经过艰苦努力，他的学习成绩终于在全班脱颖而出。,偏正式；作谓语、宾语、定语；含褒义。,,褒义,talent showing itself,偏正式,四字,古代,常用,脱颖而出,西汉 司马迁《史记 平原君虞卿列传》：“使遂蚤得处囊中，乃颖脱而出，非特其末见而已。”,“而”，不能读作“ěr”。,“颖”，不能写作“影”。,脱颖而出和“锋芒毕露”都可形容人才能全部暴露。脱颖而出偏重于“出”；即显露；指原来显得并不突出；被重用之后；才显露才能；而“锋芒毕露”偏重于“毕露”；即才能完全显露。,脱穎而出,,,
全心全意,quán xīn quán yì,投入全部精力；一点没保留。,张思德全心全意为人民服务的精神，值得我们学习。,联合式；作谓语、状语；含褒义。,整个心脏,褒义,put one's whole heart into,联合式,四字,当代,常用,全心全意,茅盾《鼓吹集》：“体验生活的时候，就应该全心全意生活，把找题材的心思完全搁起来。”,,“意”，不能写作“义”。,全心全意和“一心一意”；都有“只有一个心思；不含杂念”之意。但全心全意多含“忠诚”的意思；色彩庄重；而“一心一意”没有”。“一心一意”语义范围比全心全意广。,,ABAC式,,
调查研究,diào chá yán jiū,了解情况，考察分析。,我们要充分调查研究之后才能下结论,作主语、谓语、宾语；指考察分析。,,中性,investigate and research,联合式,四字,当代,常用,调查研究,毛泽东《在扩大的中央工作会议上的讲话》：“调查研究，我们从前做得比较好。”,,,,調查研究,,,
胡思乱想,hú sī luàn xiǎng,胡：乱；随意。不切实际；毫无根据地瞎想。,杏莉母亲正在胡思乱想之际，听到有人敲门，高兴极了！（冯德英《苦菜花》第三章）,联合式；作谓语、宾语、定语；形容毫无收益的思想。,做梦娶西施,中性,entertain all sorts of ideas,联合式,四字,古代,常用,胡思乱想,宋 朱熹《朱子全书 文》：“苦心未能静安，则总是胡思乱想，如何是能虑。”,“乱”，不能读作“làn”。,“胡”，不能写作“糊”。,胡思乱想和“异想天开”；都有“不切实际瞎想”的意思。但胡思乱想还可指“思想杂乱”；“异想天开”；指“想得离奇、荒唐”。,胡思亂想,,大天白日做美梦,
一网打尽,yī wǎng dǎ jìn,比喻一个不漏地全部抓住或彻底肃清。,人民也会想到：使汉奸合法化的，自己就是汉奸，人民的决心是要一网打尽的。（闻一多《谨防汉奸合法化》）,偏正式；作谓语、定语；用于坏人或鱼。,最大的鱼网,中性,catch all in one draft,偏正式,四字,古代,常用,一网打尽,宋 魏泰《东轩笔录》第四卷：“聊为相公一网打尽。”,“打”，不能读作“dá”；“尽”，不能读作“jǐn”。,“尽”，不能写作“劲”。,,一網打儘,,,一网打尽
一如既往,yī rú jì wǎng,指态度没有变化；完全像从前一样。一：完全；如：像；既往：从前。,(1)中国人民将一如既往地支持世界各国人民的正义斗争。(2)张老师虽身患重病，但他仍然一如既往地坚持给学生上课。,动宾式；作谓语、定语、状语；含褒义。,,褒义,as in the past,动宾式,四字,当代,常用,一如既往,《第二次握手 六》：“清末以来，到海外求学的中国人何止千百，在学业上有成就的也大有人在，可是，中国又穷又弱的现状一如既往，丝毫无所改变。”,“既”，不能读作“jí”。,“既”，不能写作“即”。,一如既往和“始终如一”、“自始至终”；都有“一直不改变”的意思。但一如既往偏重在“如同从前”；“自始自终”仅指从“开始到结束”；“始终如一”偏重于两者。,,,,
大大小小,dà dà xiǎo xiǎo,指大小人物或事物等。,邓小平《根据地建设与群众运动》：“党应用最大努力去培养大大小小的群众领袖，要知道群众领袖是最值得珍贵的。”,作主语、宾语、定语；用于人或事物等。,,中性,the big and the small,联合式,四字,古代,常用,大大小小,明·施耐庵《水浒传》第24回：“小人只认的大郎一个养家经纪人，且是在街上做些买卖，大大小小，不曾恶了一个人。”,,,,,AABB式,,
不顾一切,bù gù yī qiè,顾：顾惜，眷顾。什么都不顾。,我闭上眼睛，不顾一切的向着他手里的刀迎上去。巴金《长生塔·塔的秘密》,动宾式；作谓语、状语；比喻什么都不顾。,手起刀落怎忍看,中性,fling caution to the winds（like a bat out of hell）,动宾式,四字,近代,常用,不顾一切,叶圣陶《孤独》：“既然见到一点儿光，便不得不不顾一切地逃开。”,,,,不顧一切,,,
